text,wakati_text
就活セクハラというより、彼氏いるの？結婚するの？は結婚するまで一生上司に言われ続けるよ……,就活 セクハラ いう 彼氏 いる 結婚 する 結婚 する 一生 上司 言う れる 続ける
就活セクハラとまではいかないけどお前ならどっちがいい？って言われて履歴書見せられてどういう意味ですか？って聞いたらお前どっちがタイプっていうから男ウケ良さそうな方を選んで1週間で来なくなったな,就活 セクハラ いく ない お前 いい 言う れる 履歴 書 見せる られる 意味 聞く お前 タイプ いう 男 ウケ 良い さ そうだ 方 選ぶ 1 週間 来る ない なる
"黙らなくて良いと思う。
そして、それをきちんとシステム的に受け入れることができる受け皿が必要かもね。

就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/8UTRH6yz7d https://t.co/KyK6qz2U6W",黙る ない 良い 思う システム 的だ 受け入れる こと できる 受け皿 必要だ 就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
"就活セクハラ
終活セクハラ",就活 セクハラ 終活 セクハラ
「就活セクハラ」対策求め…　大学生が声明を発表 https://t.co/Wrr1NJy96R,就活 セクハラ 対策 求め 大学生 声明 発表
男女雇用機会均等法を理解できない事業主が労基法や労契法や安衛法やらを理解しているとも思えないし採用選考段階で就活セクハラをしてくる企業は企業名をバンバン晒して行くべきだね,男女 雇用 機会 均等だ 法 理解 できる ない 事業 主 労基法 労 契 法 安衛法 理解 する いる 思える ない 採用 選考 段階 就活 セクハラ する くる 企業 企業 名 晒す 行く
「就活セクハラやめて」女子大生が訴え 臨床心理士「OBOG訪問は一律『やめる』でいいのでは」 https://t.co/qUbRCKyvc4 #Yahooニュースアプリ,就活 セクハラ やめる 女子 大 生 訴える 臨床 心理 士 訪問 一律だ やめる いい ニュース アプリ
就活にもセクハラが付き纏うのが今の日本です。,就活 セクハラ 付き纏う の 今 日本
いやぁ。本当にさ人生って分からないよね。大学3年までは、誰にも頼らずに、結婚とかせずにバリバリなキャリアウーマンになるんだー！！！って頑張ってたけど、就活で就活パワハラと就活セクハラ受けたから、誰かの支えがないと生きていけないなって実感して、1日でも早く結婚したいもん。,本当だ する 人生 分かる ない 大学 3 年 誰 頼る 結婚 とかす キャリア ウーマン なる んだ！ 頑張る る 就活 就活 パワハラ 就活 セクハラ 受ける 誰 支え ない 生きる いける ない なる 実感 する 1 日 早い 結婚 する たい もん
"就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/t2n1TOAlVZ
早急に
適切な法整備を！",就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 早急だ 適切だ 法 整備
就活セクハラ、「結婚、出産の予定」は正直許してほしいみあるよね、いやダメなんだけどね、ダメなのは承知の上なんだけど、入社してから「実は来月結婚するので住所変わります」「苗字変わります」「妊娠3カ月です」って言われるのはしんどいんよな……だったら面接とか入社前面談で言ってほしい……,就活 セクハラ 結婚 出産 予定 許す ほしい み ある いやだ ダメだ ダメだ の 承知 上 入社 する 来月 結婚 する 住所 変わる ます 苗字 変わる ます 妊娠 3 カ月 言う れる の しんどい 面接 入社 前 面談 言う ほしい
"@kaiku_hokki 偽装難民 - Wikipedia 
https://t.co/ZI7b0vBPkX 

偽装難民とは、政治的難民を装って 
不法に 入国する人々のことを言う",偽装 難民 政治 的だ 難民 装う 不法だ 入国 する 人々 こと 言う
就活セクハラどう対処する？でなくて企業側がやめろの一言やんけ。,就活 セクハラ 対処 する ない 企業 側 やめる 一言 やん け
就活セクハラ、彼氏の有無聞かれたり結婚願望聞かれたりするのは普通じゃないの？笑 私聞かれたけど、結婚して子供出来てやめる可能性があるからだと思ってた。あと、育休制度とかしっかりしてるから辞めなくてもずっと会社にいれるよとも言われたし、企業も長く働いてくれる人とりたいよなって。,就活 セクハラ 彼氏 有無 聞く れる 結婚 願望 聞く れる する の 普通だ ない の 笑 私 聞く れる 結婚 する 子供 出来る やめる 可能だ 性 ある 思う る あと 育休 制度 する る 辞める ない 会社 いれる 言う れる 企業 長い 働く くれる 人 とる たい なる
"⚠️就活セクハラ 緊急記者会見 12/2 (月) 11:00-12:00 
SAYに所属するVUJメンバー等厚生労働省記者クラブにて会見を行います！
学生が今の現状を訴えます！
記者の皆様、是非お越しください！#拡散希望 #記者会見 #就活ハラスメント https://t.co/FCCZsxc1tJ",就活 セクハラ 緊急だ 記者 会見 12 月 11 00 12 00 所属 する メンバー 等 厚生 労働 省 記者 クラブ 会見 行う ます 学生 今 現状 訴える ます 記者 皆様 越す くださる 拡散 希望 記者 会見 就活 ハラスメント
"就活セクハラ…？人をなんだと思ってるんだ…？？
他者を弱い者と認識して本当に安易に支配しようとするの許せない。
支配関係になり得る人と人との繋がりに、予防策として個人的な関わりを持たないようにすることを制度化するべきじゃないかな。教育と同じで。",就活 セクハラ 人 思う る 他者 弱い 者 認識 する 本当だ 安易だ 支配 する する 許せる ない 支配 関係 なる 得る 人 人 繋がり 予防 策 する 個人 的だ 関わり 持つ ない する こと 制度 化 する ない 教育 同じだ
就活セクハラって恥ずかしくないんかな。垢的に意見してもお前が言うか、かもしれんけど、立場を利用してとかダサすぎるぞ。,就活 セクハラ 恥ずかしい ない 垢 的だ 意見 する お前 言う しれる 立場 利用 する とく ダサい すぎる
今の時代、就活生にすらセクハラするのかよ...,今 時代 就活 生 セクハラ する
"就活セクハラに当たらずとも、ぞんざいな扱いを受ける就活生は沢山いることも忘れちゃいけなくて。
売り手市場だから、受けるハードルが低い分切るハードルも低いのかもしれないが…
これを機に、人事の方々には改めて、就活生の人生を左右するような時期ということを弁えてほしい。
 #就活セクハラ",就活 セクハラ 当たる ぞんざいだ 扱い 受ける 就活 生 いる こと 忘れる いけない 売り手 市場 受ける ハードル 低い 分 切る ハードル 低い しれる ない 機 人事 方々 就活 生 人生 左右する 時期 いう こと 弁える ほしい 就活 セクハラ
RT @keikot65: @ohtsubakiyuko 社員が就活生にセクハラ発言するような感覚なら、その社員一人の問題ではないかもしれない。社員がセクハラ発言に無神経なのは、社内にそれなりの土壌があることも考えられる。全員が全員ということはないだろうけれど。だからやっぱりそ…,社員 就活 生 セクハラ 発言 する 感覚 社員 一 人 問題 ない しれる ない 社員 セクハラ 発言 無神経だ の 社 内 それなり 土壌 ある こと 考える られる 全員 全員 いう こと ない そだ
朝からトレンドに就活セクハラとうつ状態が入ってて、私の方がうつ状態,朝 トレンド 就活 セクハラ うつ状態 入る る 私 方 うつ状態
就活セクハラ防止を学生らが訴え OB訪問で「彼氏いるの？」 https://t.co/Qi3PSPKOPL,就活 セクハラ 防止 学生 ら 訴える 訪問 彼氏 いる
@Kriesa @karna_asty 育休どころか時間外手当も払わない会社多いし理想は遠いね。 就活セクハラ対策は学生側が録音して、被害者に変わってならず者企業に天誅を加える正義の味方が必要だと思うの,就活 セクハラ 対策 学生 側 録音 する 被害 者 変わる ならず者 企業 天誅 加える 正義 味方 必要だ 思う の
"就活セクハラについて今日親と意見交換しあったんだけど、昔事務職員だった時に上司にお尻触られたらしいんだけど親は｢何すんねん！！あたしのお尻じゃなくて嫁のお尻触ったれよ！！｣て言い放ったことがあると聞いた時今の若者に必要なものはこの威勢の良さと勢いだと思った。

#就活セクハラ",就活 セクハラ つく 今日 親 意見 交換 する ある 昔 事務 職員 時 上司 尻 触る れる 親 何 する あたし 尻 ない 嫁 尻 触る れる て 言い放つ こと ある 聞く 時 今 若者 必要だ もの 威勢 良い さ 思う 就活 セクハラ
私は一般的な就活ってしなかったから友達が面接で嫌な思いしたって話聞いた時同じように「そんな会社こっちから断ればいいじゃん」て思ったしそう言ったこともある。でも、本人は必死だからそんな簡単に割り切れるもんじゃないんだよね。被害者が我慢するからセクハラがなくならないは乱暴だと思う。 https://t.co/495EeIvTa6,私 一般 的だ 就活 する ない 友達 面接 嫌だ 思う したう 話 聞く 時 同じだ 会社 断る いい て 思う しそう 言う こと ある 本人 必死だ 簡単だ 割り切れる もん ない 被害 者 我慢 する セクハラ なくなる ない 乱暴だ 思う
"就活セクハラっていう話を少し見てたけど…
言ってる学生に腹立つ私は異常ですか？

嫌なんだったら、そーゆう相談場所になる会社をお前が作れやって思ったけど…わしだけか？
昔の人からしたらそれが普通だったんでしょ？

最近の若い人はセクハラとかパワハラとか体罰とか色々言いすぎなほんとクソ",就活 セクハラ いう 話 見る たい 言う る 学生 腹立つ 私 異常だ 嫌だ ゆう 相談 場所 なる 会社 お前 作る やる 思う わし 昔 人 する 普通だ 最近 若い 人 セクハラ パワハラ 体罰 言う すぎな ほんとだ クソ
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/xrr4xE8SYM,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
"就活セクハラきもちわる
本当に行きたい会社でもそんなんされたら行かないなぁ入社してからも同じようなことありそうだし",就活 セクハラ きもち わるい 本当だ 行く たい 会社 ん する れる 行く ない 入社 する 同じだ こと ある そうだ
RT @NoriakiImai: 大学は就活セクハラ対策を現役学生らが訴え。「前例がない」とスルーされた過去も #SmartNews  https://t.co/NEWzEZTwoR,
就活セクハラ...そんな人間の下で働きたいと思わないけどなー。それより手っ取り早くTwitterで企業名とイニシャルくらい拡散しちゃえよ。,就活 セクハラ 人間 下 働く たい 思う ない 手っ取り早い 企業 名 イニシャル 拡散 する える
"就活セクハラねぇ
何かにつけてそういう目で見られる女性は大変よね
就活以外でもそういう目で見られる機会は多いだろうし、男嫌いになるのもうなずけてしまう...",就活 セクハラ ない 何 つける 目 見る られる 女性 大変だ 就活 以外 目 見る られる 機会 多い 男 嫌いだ なる の うなずける しまう
RT @chiibo22: 就活生と企業社員という絶対的不均衡な力関係の中セクハラの被害に遭ってしまう学生、大学と企業の制度の狭間に置かれ「労働者」としての権利が保障されていない就活生の状況の改善のために。厚労省、大学、企業に向けてみんなで書きました。,就活 生 企業 社員 いう 的だ 不均衡だ 力 関係 中 セクハラ 被害 遭う しまう 学生 大学 企業 制度 狭間 置く れる 労働 者 する 権利 保障 する れる いる ない 就活 生 状況 改善 ため 厚労 省 大学 企業 向ける 書く ます
RT @qr4fu9zRifMss2y: 就活セクハラとかそういう問題に取り組んでるだけで超立派なのに、服装とかサングラスに目くじらたててる人間ほんとそういう所だぞ,就活 セクハラ 問題 取り組む る 立派だ 服装 サングラス 目くじら たて てる 人間 ほんとだ 所
"話題となっている #就活セクハラ。
男女問わず、被害を受けた人が多くいます。

要因は就活生がセクハラ対策の
""蚊帳の外""になっていること。

自分がそういう場に遭遇した際には
泣き寝入りせず、すぐに周りに相談しましょう。
https://t.co/vR67kKIbwO",話題 なる いる 就活 セクハラ 男女 問う 被害 受ける 人 多い いる ます 要因 就活 生 セクハラ 対策 蚊帳 外 なる いる こと 自分 場 遭遇 する 際 泣き寝入り する 周り 相談 する ます
就活セクハラ 幼稚な社員がやってんのかい？社長がやっていんのかい幼稚な社長だなクソじゃん。クビだクビ。面接官クビ。セクハラ面接官クビ。再就職はありませんよ。  #就活セクハラ #面接官,就活 セクハラ 幼稚だ 社員 やる 社長 やる いん 幼稚だ 社長 だな クソ クビ クビ 面接 官 クビ セクハラ 面接 官 クビ 就職 ある ます 就活 セクハラ 面接 官
普通に、「彼氏いる？」「彼女いる？」って面接で聞くの就活セクハラでしょ。,普通だ 彼氏 いる 彼女 いる 面接 聞く 就活 セクハラ
"就活セクハラについて有働さんの我々世代の責任という言葉素敵ですね
当事者以外のそういう意識すごく大切だと思います
#newszero",就活 セクハラ つく 有働 さん 我々 世代 責任 いう 言葉 素敵だ 当事 者 以外 意識 すごい 大切だ 思う ます
“就活セクハラ横行”　学生らが緊急声明　12/3 0:23更新 https://t.co/SOilwqnqGu https://t.co/mmCke2t8fs,就活 セクハラ 横行 学生 ら 緊急だ 声明 12 30 23 更新
"RT @sansabrisiz: 就活セクハラを批判した学生を企業が先を争い雇おうとするならサングラスなんか要らないだろう。だいたいハラスメントを社内ルールに従って相談した社員を逆にクビにしたりする企業ばかりだからな。
そもそも見事採用されが正社員たちが素顔を晒して自分が受けた…",就活 セクハラ 批判 する 学生 企業 先 争う 雇う する サングラス 要る ない だいたい ハラスメント 社 内 ルール 従う 相談 する 社員 逆だ クビ する する 企業 見事だ 採用 する れる 正 社員 たち 素顔 晒す 自分 受ける
"就活セクハラって言うけど、そういうのしちゃう人を人事に置いてるやばい会社ですよと馬鹿正直に示してくるんだからむしろ、あー危なかったさようならって思うけど…

めんどくさいよね",就活 セクハラ 言う の する う 人 人事 置く る やばい 会社 馬鹿正直だ 示す くる 危ない 思う めんどくさい
"就活セクハラねえ

まあ半端に金持って自分の能力を過信しちゃうような人が集まってるんだから、大企業の人事部なんてそんなもんでしょ

間違いなく悪い事だけど、これは根本的に解決したいなら、金というものの能力過信を社会的に是正する必要があると思うんだよね

資本主義と新自由主義の再定義はよ",就活 セクハラ 半端だ 金 持つ 自分 能力 過信 する う 人 集まる る 企業 人事 部 もん 間違い ない 悪い 事 根本 的だ 解決 する たい 金 いう もの 能力 過信 社会 的だ 是正 する 必要だ ある 思う 資本 主義 自由だ 主義 定義
この売り手市場で就活セクハラがまかり通ると思ってるの笑っちゃうな,売り手 市場 就活 セクハラ まかり通る 思う る 笑う う
"就活セクハラ(^o^;)
本当 エロ親父はどーしよーもねーなー",就活 セクハラ 本 エロ 親父 する よう ない
就活セクハラも問題だけど、女性営業マンに枕もちかけてくるオジサン多くない？契約書書くから食事一緒に～みたいなのは日常茶飯事だし、もっと露骨な行為をしくる輩もいるし社会人なりたてのときはきつかった。それを言われてるうちがハナだとか冗談だって言えば済むと思われてるのが最高にキモいよな,就活 セクハラ 問題 女性 営業 マン 枕 もつ かける くる 多い ない 契約 書 書く 食事 一緒だ み たい の 日常茶飯事 露骨だ 行為 する くる も いる 社会 人 なり たて とき きつい 言う れる る うち ハナ 冗談 言う 済む 思う れる る の 最高だ キモい
"就活セクハラで疑問なんだけどホテル行ったら受からせてあげるってもう枕営業じゃん。あと人事が居酒屋に呼び出すとかありえないでしょ
好きな会社だから我慢したとか、そんな奴が人事にいる会社我慢して入っても呼び出されて盗撮とか脅迫されて性奴隷コース待ったなしなのでは…",就活 セクハラ 疑問 ホテル 行く 受かる せる あげる 枕 営業 あと 人事 居酒屋 呼ぶ 出す ありえ ない 好きだ 会社 我慢 する 奴 人事 いる 会社 我慢 する 入る 呼ぶ 出す れる 盗撮 脅迫 する れる 性 奴隷 コース 待ったなし
"“44 on Twitter: ""就活セクハラの、彼氏居るの？ってやつ 翻訳すると 向こう5年くらい安定して働ける人材が欲しいんです。女性にとっての結婚や出産は喜ばしい事ですが、仕事覚えた辺りで産休育休を取られると我が社は恥ずかしながら対応できるキャパが無いん… …” https://t.co/Js1je9ZkEp",44 就活 セクハラ 彼氏 居る やつ 翻訳 する 向こう 5 年 安定 する 働ける 人材 欲しい 女性 とる 結婚 出産 喜ばしい 事 仕事 覚える 辺り 産休 育休 取る れる 社 恥ずかしい 対応 できる キャパ 無い
"就活セクハラってもう就活生には録音機器持たせたほうがいいポッケに入るサイズのやつとか
どうせ学校戻ってからどんなこと聞かれましたか？とか書かせられるし次に活かしましょうって思い出しながら面接練習するんだし
就活期間だけ通報は大企業だろうが何だろうが就活生が優遇されればいい",就活 セクハラ 就活 生 録音 機器 持つ せる ほう いい ポッケ 入る サイズ やつ 学校 戻る こと 聞く れる ます 書く せる られる 活かす ます 思い出す 面接 練習 する 就活 期間 通報 企業 何 就活 生 優遇 する れる いい
就活セクハラ！？,就活 セクハラ
"就活セクハラというのか分からんが家族構成とか父親の仕事とかモラハラみたいな質問は面接で聞かれたことある。
別の人は何故か体重とか聞かれてた。(聞かれたのは男だけどこれはセクハラに当たるのかは分からない)
面接時なんか当然ボイスレコーダーなんか使えないし、どの機関に言えばいいんだ？",就活 セクハラ いう 分かる 家族 構成 父親 仕事 モラハラ 質問 面接 聞く れる こと ある 別だ 人 体重 聞く れる たい 聞く れる の 男 セクハラ 当たる 分かる ない 面接 時 ボイス レコーダー 使える ない 機関 言う いい
就活セクハラってひとつにフォーカスしないで全体的なハラスメントにフォーカスしてくんねぇかな,就活 セクハラ ひと つ フォーカス する 全体 的だ ハラスメント フォーカス する くん ない
"就活セクハラの対応・・・

相談じゃなく

企業側に

就活者｢住所を教えると言ったな・・・あれは嘘だ｣

と言い

スカイタワーのてっぺんから 企業側の足を離してあげる
#就活セクハラ
#コマンドー https://t.co/rVnm8oSNRY",就活 セクハラ 対応 相談 ない 企業 側 就活 者 住所 教える 言う 嘘 だ 言う てっぺん 企業 側 足 離す あげる 就活
RT @wakanakatoo: 12/2(月) 11:00-12:00 にて厚労省、13:00-14:00 FCCJにて就活セクハラに関する記者会見を行います。記者の皆さん是非いらっしゃってください！！,就活 セクハラ 関する 記者 会見 行う ます 記者 皆さん いらっしゃる くださる
RT @Makoto_Todo73: 就活セクハラ？なにそれ。じゃあそこに就職しなければいいだけの話。訴えてる暇があるなら別のとこ探したほうが早いと思う。訴えなくてもそんなとこどうせ潰れて消えるから大丈夫。,就活 セクハラ なに 就職 する ない いい 話 訴える る 暇だ ある 別だ とこ 探す ほう 早い 思う 訴える ない とこ 潰れる 消える 大丈夫だ
【セクハラニュース】就活ハラスメントにNO、国が初の指針。大学生団体｢抑止力ない｣と強い実効性求める - Business Insider Japan / https://t.co/DA3GLs3Q69 https://t.co/xerZ2wQ8a7,セクハラ ニュース 就活 ハラスメント 国 初 指針 大学生 団体 抑止 力 ない 強い 実効 性 求める
有り難いことに今のところ就活セクハラ受けたことはないけど、就活セクハラするような会社は入社後もセクハラ・マタハラ・パタハラが起こりそうだよね。,有り難い こと 今 ところ 就活 セクハラ 受ける こと ない 就活 セクハラ する 会社 入社 後 セクハラ マタハラ 起こる そうだ
"@SoraJunichi @mokkadayo 女は自分たちがセクハラ被害で困ってるからその点について声上げてるわけだけど、その被害者たちに就活パワハラで困ってる男のことまで考えて欲しいだなんて赤ちゃんかな？って言ったんだけど伝わんなかったかー
ワンちゃんなら仕方ないね😆",女 自分 たち セクハラ 被害 困る る 点 つく 声 上げる る 被害 者 たち 就活 パワハラ 困る る 男 こと 考える 欲しい 赤ちゃん 言う 伝う ない ワン ちゃん 仕方ない ね
"#就活セクハラ 
就活セクハラをするような会社なら入社してからも何かしらのセクハラがあるからその会社には入らない方がいい。
って私は割り切ってる。",就活 セクハラ 就活 セクハラ する 会社 入社 する セクハラ ある 会社 入る ない 方 いい 私 割り切る る
"就活セクハラって何だ・・・

会社は学校ではないので、厚労省が過度に口出しすることでは無いと思うが。

入社しなければいい話しであり、会社側も、そんな採用担当を雇用してる時点で終わってる。 https://t.co/t5xTzdPm5P",就活 セクハラ 何 会社 学校 ない 厚労 省 過度だ 口出し する こと 無い 思う 入社 する ない いい 話し 会社 側 採用 担当 雇用 する る 時点 終わる る
"就活セクハラか。。。
縁故で入った会社の入社前健康診断で、当時の人事部長に｢君、新地で働いてるよね？どこの店だっけ？？｣と聞かれて父親に報告したら、ド地方に飛ばされてた思い出。",就活 セクハラ 縁故 入る 会社 入社 前 健康だ 診断 当時 人事 部長 君 新地 働く る 店 聞く れる 父親 報告 する 地方 飛ばす れる たい 思い出
日本は身分社会である。正社員の身分を手に入れたならセクハラぐらいしたくなるのは人情である。セクハラをくぐり抜け正社員の地位を手に入れなければ一生セクハラされる立場に叩き落される。狂ってるがこれも民意。 / “就活セクハラ「もう黙らない」大学生たちが緊急声明…” https://t.co/nuBcVsh1vf,日本 身分 社会 正 社員 身分 手 入れる セクハラ する たい なる の 人情 セクハラ くぐる 抜ける 正 社員 地位 手 入れる ない 一生 セクハラ する れる 立場 叩く 落す れる 狂う る 民意 就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明
就活って簡単なもんじゃないんだからさ、セクハラとか騒いで浪人して親のスネかじってちゃセクハラ言い訳にニートしたいんじゃないかって思われちゃうよ。,就活 簡単だ もん ない セクハラ 騒ぐ 浪人 する 親 スネ かじる る セクハラ 言い訳 ニート する たい ない 思う れる う
RT @rippy08: 知るほどにひどい実態。。新卒の就活のみならず、転職や一般的な求職でも、あるんでしょうね、、、表面化しにくい中で声を上げることに敬意を評します／就活におけるセクハラ「独身の男、よりどりみどりだぞ」　大学生有志、根絶訴え|弁護士ドットコムニュース http…,
就活セクハラね、具体的にどこよ,就活 セクハラ 具体 的だ
就活セクハラかぁ、、日本やべぇな。。,就活 セクハラ 日本 やばい
就活セクハラかー、そこまで対応できないと思うわ,就活 セクハラ 対応 できる ない 思う
"“ホテルに行ったら採用”!?～就活セクハラの実態とは

職を求める弱い立場の学生が受ける「就活セクハラ」。ことし春には女子大生がOB訪問中に相次いで強姦などの被害に遭う事件も。企業にも大学にも相談できない――その実態を取材しました。 
 https://t.co/wChv2cIv90",ホテル 行く 採用 就活 セクハラ 実態 職 求める 弱い 立場 学生 受ける 就活 セクハラ ことし 春 女子 大 生 訪問 中 相次ぐ 強姦 被害 遭う 事件 企業 大学 相談 できる ない 実態 取材 する ます
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/ejaJDRq6jH,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
"「「就活セクハラ」に学生が対策求める みなさんの反応」  https://t.co/BGsCSULd8o

また馬鹿の一つ覚えで男はこんなことされないんだろうなみたいなのあるけど男は物理的に暴力だよなこぶしとか蹴りとか

クロネコヤマトの一件",就活 セクハラ 学生 対策 求める みなさん 反応 馬鹿だ 一 つ 覚え 男 こと する れる ない ある 男 物理 的だ 暴力 こぶし 蹴り 一 件
就活人妻リクルート痴漢 総務部セクハラ課ぶっかけ係に配属された女 愛原さえ https://t.co/uz2ZDWGrBV,就活 人妻 リクルート 痴漢 総務 部 セクハラ 課 ぶっかけ 係 配属 する れる 女 愛原
“就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 | ハフポスト” https://t.co/6OEOmFvFsY,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 ハフ ポスト
これ、私もこの流れで就活セクハラ言っていいかな？？？？？？？←,私 流れで 就活 セクハラ 言う いい
RT @knakano1970: 大学は就活セクハラ対策を現役学生らが訴え。「前例がない」とスルーされた過去も｜BUSINESS INSIDER https://t.co/WcQ9I9r0m7 @BIJapanより,
"RT @lemonbo31232211: #就活セクハラ 
男性就活生目線で言うと、受けた会社が女性に就活セクハラする会社とわからないのも問題の一つ。
被害に遭った女性には失礼だけど、男性はそういう被害を受けないが故にその会社がセクハラするかどうかを見抜けない。男だって就活セク…",男性 就活 生 目線 言う 受ける 会社 女性 就活 セクハラ する 会社 わかる ない の 問題 一 つ 被害 遭う 女性 失礼だ 男性 被害 受ける ない 故 会社 セクハラ する 見抜ける ない 男 就活
"なんか就活セクハラって特集されてるけど

自分が女性じゃないからってのもあるかもだけど
会社からしたら5年かけてやっと育てた社員が結婚でやめますなんて辛いだろうしな

まぁ質問のしかたの問題って感じだけど
彼氏いるの？ってだけだとえっ？なんで？ってはなるなw",就活 セクハラ 特集 する れる る 自分 女性 ない の ある 会社 する 5 年 かける 育てる 社員 結婚 やめる ます 辛い なま 質問 しかた 問題 感じ 彼氏 いる なる ない
会社の権力を使わないと、相手にしてもらえないのかね～笑笑🙋👌🎵ダサい😓🎵自分も研修でセクハラ問題を習いますが、だんだん複雑になっているのは確かです🙋就活セクハラ、セクハラじたいを、なくせる日本であってほしい🙈👌50年かかるかもだけど、昔ながらをなくして🙋🎵🎵,会社 権力 使う ない 相手 する もらえる ない かねる 笑笑 ダサい 自分 研修 セクハラ 問題 習う ます 複雑だ なる いる の 確かだ 活 セクハラ セクハラ じたい なくせる 日本 ほしい 50 年 かかる なくす
就活セクハラじゃないけど面接で入っても暴言とか怒号とかあるけど耐えられるか聞かれた。まじ気持ちわりぃ。,就活 セクハラ ない 面接 入る 暴言 怒号 ある 耐える られる 聞く れる まじる 気持ち わり
就活セクハラの被害、ほんとに男の嫌なところがドロッドロな問題だな。全部企業名出そうぜ。,就活 セクハラ 被害 ほんとだ 男 嫌だ ところ 問題 企業 名 出す
私が学生で就活した時は昔だけど、面接で面接官がニヤニヤしながらセクハラ言った表情や発言の内容、「男なら採用だけど、女なのか、残念だな」と役員達が目の前ではっきり言った会社も全部覚えてるよ。皆が知ってる大企業だよ。なんとコネ面接ですらセクハラい言われたのでビョーキとしか思えない,私 学生 就活 する 時 昔 面接 面接 官 する セクハラ 言う 表情 発言 内容 男 採用 女 残念だ 役員 達 目の前 言う 会社 覚える る 知る る 企業 コネ 面接 セクハラ いる 言う れる ビョーキ 思える ない
“就活セクハラ横行”　学生らが緊急声明 #SmartNews  https://t.co/vOdrbia1Z1,就活 セクハラ 横行 学生 ら 緊急だ 声明
"RT @ai_oosawa: 就活セクハラ「もう黙らない」大学生たちが緊急声明を発表、とか

正直、会社の中でも採用担当なんて特に重要なポストでもなく、いわば格落ち

それが立場の弱い就活生を前にすることで変な全能感が芽生え、劣等感の裏返しで傲慢な本性を露にするのではないかと…",就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 会社 中 採用 担当 重要だ ポスト ない 格 落ち 立場 弱い 就活 生 前 する こと 変だ 能 感 芽生える 劣等 感 裏返し 傲慢だ 本性 露 する ない
いや、就活セクハラの件よくわかったんだけど、会見のグラサン女どうにかしろ。お前も会見らしい格好で会見しろ。アホか,就活 セクハラ 件 よい わかる 会見 グラサン 女 する お前 会見 格好だ 会見 する アホ
"RT @Niko_Nesan: &gt;フランシスコ教皇は難民や在留資格のない外国人などに対して日本が厳しい対応を取っていると指摘

そんな事より命を奪い人権を蹂躙し、好き放題やってる国がありますよ。まともになれば、図体がデカイ国なのでいくらでも難民受け入れ可能です。失礼ですが世界が…",フラン シスコ 教皇 難民 在留 資格 ない 外国 人 対する 日本 厳しい 対応 取る いる 指摘 事 命 奪う 人権 蹂躙 する 好きだ 放題 やる る 国 ある ます まともだ なる 図体 デカイ 国 難民 受け入れ 可能だ 失礼だ 世界
就活セクハラだってさ。こういうのが世に発信され社会が認知出来る世の中に時代の進歩を感じる、いいぞもっとやれ。,就活 セクハラ の 発信 する れる 社会 認知 出来る 世の中 時代 進歩 感じる いい
セックスしないと内定破棄とか、それ就活セクハラじゃなくて立派な犯罪だから。,セックス する ない 内定 破棄 就活 セクハラ ない 立派だ 犯罪
@pdTXV8bjubRyZfL @niiinaaa_xxxx あ！就活セクハラか！？🤔,あ！ 就活 セクハラ
就活セクハラする奴はどんどん痛い目見ればいいけど、ちゃんとした面接官の人達まで肩身狭い思いしそうで可哀想,就活 セクハラ する 奴 痛い 目 見る いい する 面接 官 人 達 肩身 狭い 思い する そうだ 可哀想だ
"就活セクハラがいま話題になってる。
対策としてじゃないけど男性上司などと飲みの場など行く時は、ボイスレコーダーで録音しておいた方がいい。

首になろうとそんな会社で働いてもいい会社じゃないしむしろ訴えてこの会社に未来ないですねくらい言ったほうがいい

女性を何だと思ってんだか。",就活 セクハラ いま 話題 なる る 対策 する ない 男性 上司 飲み 場 行く 時 ボイス レコーダー 録音 する おく 方 いい 首 なる 会社 働く いい 会社 ない 訴える 会社 未来 ない 言う ほう いい 女性 何 思う
就活セクハラ関連の話で「結婚したら辞めるかどうか、妊娠したら辞めるかどうかは企業としても聞いておきたいのでは」という意見を見かけたんだけど、そこで辞めるって答える人たぶんいないと思う。,就活 セクハラ 関連 話 結婚 する 辞める 妊娠 する 辞める 企業 する 聞く おく たい いう 意見 見かける 辞める 答える 人 いる ない 思う
