text,wakati_text
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表（ハフポスト日本版） - Yahoo!ニュース https://t.co/DVLpUnzUt1,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 ハフ ポスト 日本 版 ニュース
就活セクハラ自体は問題だけど「何かを訴える」場にふさわしくない話し方はどうなの？,就活 セクハラ 自体 問題 何 訴える 場 ふさわしい ない 話し 方
ニュースになってる就活セクハラではないんだけど、リクルートスーツ姿を見て写真を撮らせて欲しいっていう人とか、就活講座やっててーってちゃっかり個人情報聞き出そうとする人たちは、一旦ペンキ塗りたてのベンチに座ってこいって思ってた。,ニュース なる る 就活 セクハラ ない 姿 見る 写真 撮る せる 欲しい いう 人 就活 講座 やる てる 個人 情報 聞く 出す する 人 たち ペンキ 塗り たて ベンチ 座る くる 思う る
就活セクハラってなんや,就活 セクハラ
#zero 就活セクハラは大学生だけの問題では無いです。転職する人もありますよ。会社のモラルの低下なんでしょうか。,就活 セクハラ 大学生 問題 無い 転職 する 人 ある ます 会社 モラル 低下 なん
"就活セクハラとかなんやらかんやらハラスメント受けて訴訟起こすのは大体顔が整ってないってあるあるだけど、なんでよって思う人多いでしょ。

男に免疫無いと多少のことも受け流せない程度の人生スキルだからなのではと思うことある。

いや、もちろんセクハラはよくないよ？🤭",就活 セクハラ かなん らかん ハラスメント 受ける 訴訟 起こす の 顔 整う ない よる 思う 人 多い 男 免疫 無い こと 受け流す ない 程度 人生 スキル 思う こと ある セクハラ よい ない
"【VR】セクハラ面接、3日間。犯され就活生の実態。内定が欲し過ぎる就活生をセクハラしまくれ！！合格をチラつかせ、最後はどっぷり中出し採用！！ 有栖るる
https://t.co/fF05JTPjv2",セクハラ 面接 3 日間 犯す れる 就活 生 実態 内定 欲しい 過ぎる 就活 生 セクハラ する まくる 合格 チラ つく せる 最後だ 中 出し 採用 有栖 るる
"就活セクハラかぁ……幸いにも特に新卒の頃は何も無かったな……

中途になってからは私の職歴の多さ、正社員を何回も何回も転々としてるのを見て面接官はカレシいるの？ケコーンするの？より職歴の多さが気になるみたいだね",就活 セクハラ 幸いだ 新卒 頃 無い 中途 なる 私 職歴 多い さ 正 社員 何 回 何 回 する る の 見る 面接 官 カレシ いる する 職歴 多い さ 気 なる
"「就活セクハラ」に学生が対策求める みなさんの反応  https://t.co/ACEDIbkz7L

かなり前の日経？に載ってたけど、男性被害者も意外と多いらしい",就活 セクハラ 学生 対策 求める みなさん 反応 前 日経 載る る 男性 被害 者 意外だ 多い
RT @BIJapan: 職場でのパワハラやセクハラを防ぐため、国が企業に求める指針案が大筋で固まった。これまで雇用関係にないとして保護されていなかった就活生も、初めて対象になる。社内への周知や研修、相談対応など、企業が取るべき対策とは。 https://t.co/vqTlml…,
"就活セクハラ「もう黙らない」大学生たちが緊急声明を発表
 「就活セクハラについて悩まずに過ごせているとしたら、それは運が良かっただけです」 
https://t.co/CYE9aZkKRf",就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 就活 セクハラ つく 悩む 過ごせる いる する 運 良い
"ただでさえ就活セクハラの被害でピリピリしてるのにクソリプ送るなよ
絡んだところ狙って垢乗っ取りしても罪にならないシステム作れ
知らない女の子にダル絡みしてもいいのはキャバクラの中だけだぞ https://t.co/MsG1UB4ynb",就活 セクハラ 被害 する る 送る 絡む ところ 狙う 垢 乗っ取り する 罪 なる ない システム 作る 知る ない 女の子 ダルい 絡み する いい の キャバクラ 中
